1,0.4835,0.8541,0.4771,0.2156,0.9324,0.7299
2,0.1783,0.9406,0.7626,0.1431,0.9497,0.7987
3,0.1250,0.9541,0.8166,0.1098,0.9586,0.8344
4,0.1022,0.9608,0.8434,0.0898,0.9652,0.8610
5,0.0893,0.9654,0.8615,0.0831,0.9676,0.8706
1,0.4719,0.8588,0.4936,0.2192,0.9324,0.7295
2,0.1893,0.9389,0.7555,0.1666,0.9449,0.7795
3,0.1547,0.9476,0.7906,0.1384,0.9519,0.8078
4,0.1330,0.9537,0.8148,0.1265,0.9558,0.8235
5,0.1171,0.9581,0.8326,0.1070,0.9610,0.8442
6,0.1043,0.9622,0.8488,0.0978,0.9641,0.8562
7,0.0935,0.9655,0.8620,0.0856,0.9677,0.8709
8,0.0840,0.9687,0.8751,0.0837,0.9688,0.8753
9,0.0748,0.9722,0.8889,0.0662,0.9752,0.9008
10,0.0655,0.9756,0.9025,0.0621,0.9773,0.9092
11,0.0570,0.9790,0.9163,0.0534,0.9803,0.9214
12,0.0477,0.9826,0.9305,0.0396,0.9860,0.9439
13,0.0402,0.9855,0.9422,0.0341,0.9879,0.9518
14,0.0328,0.9883,0.9533,0.0279,0.9904,0.9617
15,0.0260,0.9909,0.9635,0.0236,0.9918,0.9672
16,0.0206,0.9928,0.9714,0.0189,0.9934,0.9738
17,0.0168,0.9942,0.9769,0.0138,0.9954,0.9817
18,0.0140,0.9952,0.9808,0.0116,0.9961,0.9845
19,0.0113,0.9962,0.9847,0.0094,0.9968,0.9872
20,0.0095,0.9968,0.9872,0.0101,0.9964,0.9858
21,0.0086,0.9971,0.9883,0.0081,0.9972,0.9890
22,0.0076,0.9974,0.9897,0.0056,0.9980,0.9918
23,0.0065,0.9978,0.9912,0.0066,0.9977,0.9908
24,0.0061,0.9979,0.9918,0.0045,0.9985,0.9941
25,0.0057,0.9981,0.9924,0.0083,0.9971,0.9886
26,0.0051,0.9983,0.9931,0.0049,0.9982,0.9929
27,0.0045,0.9985,0.9939,0.0051,0.9981,0.9925
28,0.0042,0.9986,0.9944,0.0051,0.9983,0.9934
29,0.0046,0.9985,0.9938,0.0058,0.9980,0.9919
30,0.0038,0.9988,0.9951,0.0026,0.9992,0.9967
31,0.0041,0.9986,0.9946,0.0044,0.9985,0.9942
32,0.0035,0.9988,0.9954,0.0042,0.9988,0.9951
33,0.0037,0.9988,0.9952,0.0026,0.9992,0.9969
