1,1.5447,0.6093,0.0547,1.1255,0.7331,0.0786
2,1.0231,0.7349,0.0819,0.9007,0.7400,0.0907
3,0.8117,0.7497,0.1142,0.7170,0.7628,0.1471
4,0.6614,0.7752,0.1860,0.5980,0.7915,0.2365
5,0.5618,0.8037,0.2750,0.5104,0.8231,0.3374
6,0.4858,0.8327,0.3674,0.4440,0.8491,0.4218
7,0.4249,0.8568,0.4472,0.3930,0.8723,0.5030
8,0.3746,0.8790,0.5257,0.3434,0.8910,0.5707
9,0.3322,0.8960,0.5895,0.3060,0.9071,0.6318
10,0.2995,0.9095,0.6409,0.2755,0.9178,0.6722
11,0.2715,0.9187,0.6763,0.2483,0.9271,0.7090
12,0.2520,0.9252,0.7016,0.2324,0.9313,0.7257
13,0.2349,0.9296,0.7190,0.2192,0.9336,0.7346
14,0.2226,0.9322,0.7292,0.2108,0.9364,0.7458
15,0.2117,0.9351,0.7407,0.2018,0.9386,0.7546
16,0.2021,0.9378,0.7514,0.1902,0.9415,0.7663
17,0.1951,0.9397,0.7589,0.1825,0.9449,0.7797
18,0.1889,0.9414,0.7657,0.1758,0.9454,0.7817
19,0.1839,0.9421,0.7684,0.1694,0.9478,0.7911
20,0.1780,0.9436,0.7743,0.1645,0.9492,0.7969
21,0.1731,0.9451,0.7804,0.1629,0.9489,0.7956
22,0.1677,0.9465,0.7861,0.1613,0.9487,0.7949
23,0.1631,0.9474,0.7896,0.1527,0.9515,0.8059
24,0.1596,0.9486,0.7946,0.1512,0.9513,0.8053
25,0.1569,0.9494,0.7979,0.1447,0.9537,0.8149
26,0.1528,0.9508,0.8031,0.1437,0.9538,0.8153
27,0.1496,0.9518,0.8074,0.1401,0.9548,0.8193
28,0.1451,0.9532,0.8126,0.1351,0.9569,0.8278
29,0.1439,0.9532,0.8130,0.1309,0.9577,0.8310
30,0.1390,0.9545,0.8181,0.1315,0.9574,0.8297
31,0.1366,0.9556,0.8225,0.1241,0.9596,0.8385
32,0.1338,0.9564,0.8256,0.1260,0.9597,0.8390
33,0.1330,0.9561,0.8247,0.1242,0.9598,0.8392
34,0.1289,0.9575,0.8301,0.1199,0.9611,0.8444
35,0.1249,0.9591,0.8366,0.1137,0.9629,0.8516
36,0.1225,0.9595,0.8378,0.1121,0.9638,0.8554
37,0.1202,0.9601,0.8405,0.1080,0.9651,0.8604
38,0.1165,0.9612,0.8447,0.1071,0.9654,0.8616
39,0.1154,0.9621,0.8484,0.1034,0.9669,0.8675
40,0.1117,0.9632,0.8530,0.1029,0.9660,0.8642
41,0.1112,0.9638,0.8551,0.1003,0.9672,0.8690
42,0.1085,0.9637,0.8548,0.1002,0.9675,0.8701
43,0.1076,0.9644,0.8575,0.0951,0.9694,0.8777
44,0.1032,0.9654,0.8616,0.0916,0.9705,0.8819
45,0.1019,0.9657,0.8630,0.0894,0.9707,0.8830
46,0.0999,0.9665,0.8661,0.0960,0.9683,0.8733
47,0.0977,0.9672,0.8690,0.0873,0.9717,0.8869
48,0.0957,0.9682,0.8727,0.0892,0.9707,0.8830
49,0.0953,0.9678,0.8714,0.0823,0.9736,0.8942
50,0.0927,0.9690,0.8760,0.0845,0.9727,0.8908
